epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,3958.22,0.50161,0.95544,0.52678,0.9951,0,0.9274,0.82875,0.92195,0.73791,0.93207,0.83273,0.92157,0.72167,0.67097,1.12767,0.52568,1.07687,0,0.00020707,0.00020707,0.00020707
80,4008.98,0.48744,0.92323,0.48308,0.98388,0,0.91058,0.84304,0.92437,0.73053,0.90564,0.83907,0.92309,0.71993,0.67569,1.11997,0.54157,1.07621,0,0.000198071,0.000198071,0.000198071
81,4058.48,0.48004,0.91631,0.49089,0.98335,0,0.89978,0.8485,0.92502,0.73785,0.89139,0.84441,0.91207,0.71717,0.66188,1.15018,0.53609,1.06637,0,0.000189072,0.000189072,0.000189072
82,4108.86,0.47443,0.92273,0.47923,0.98271,0,0.8672,0.87608,0.9238,0.74001,0.87182,0.87193,0.92007,0.72121,0.65318,1.12464,0.53662,1.06731,0,0.000180073,0.000180073,0.000180073
83,4159.61,0.47723,0.92067,0.48728,0.97617,0,0.86385,0.87428,0.92344,0.74302,0.86861,0.85795,0.91592,0.72335,0.64292,1.12908,0.53273,1.05202,0,0.000171074,0.000171074,0.000171074
84,4209.16,0.47575,0.91313,0.4935,0.98142,0,0.87682,0.87377,0.92552,0.74054,0.87303,0.87048,0.91849,0.71845,0.65249,1.14694,0.52349,1.06315,0,0.000162075,0.000162075,0.000162075
85,4259.64,0.47467,0.90116,0.47934,0.97783,0,0.8833,0.87007,0.9296,0.73887,0.88641,0.86498,0.92529,0.72598,0.66472,1.12738,0.51993,1.07572,0,0.000153076,0.000153076,0.000153076
86,4309.82,0.47106,0.9064,0.4748,0.97627,0,0.90706,0.86294,0.93477,0.74905,0.90785,0.85683,0.9257,0.73204,0.6476,1.12611,0.50447,1.04564,0,0.000144077,0.000144077,0.000144077
87,4359.27,0.4742,0.92734,0.47968,0.98154,0,0.89206,0.86491,0.92333,0.73772,0.90779,0.84894,0.92115,0.71945,0.65914,1.13374,0.52198,1.06987,0,0.000135077,0.000135077,0.000135077
88,4409.56,0.47506,0.91703,0.48225,0.98203,0,0.8998,0.86051,0.9203,0.73835,0.89692,0.8544,0.91498,0.71957,0.66191,1.11079,0.52317,1.06701,0,0.000126078,0.000126078,0.000126078
89,4459.23,0.45665,0.88039,0.46316,0.97052,0,0.89124,0.88884,0.93171,0.74138,0.89683,0.87454,0.92701,0.72889,0.66075,1.11805,0.51418,1.06937,0,0.000117079,0.000117079,0.000117079
90,4508.92,0.47042,0.91408,0.47068,0.98259,0,0.90318,0.86315,0.93412,0.74419,0.90272,0.86415,0.92963,0.7343,0.65126,1.11643,0.50419,1.0555,0,0.00010808,0.00010808,0.00010808
91,4553.64,0.42365,0.80279,0.41864,0.95711,0,0.89103,0.86163,0.91963,0.73661,0.89241,0.86431,0.91516,0.72117,0.6583,1.13889,0.54301,1.06212,0,9.9081e-05,9.9081e-05,9.9081e-05
92,4594.92,0.42649,0.7782,0.38918,0.96628,0,0.9056,0.84972,0.9226,0.74488,0.90404,0.85045,0.91724,0.72432,0.64835,1.12158,0.52521,1.05487,0,9.00819e-05,9.00819e-05,9.00819e-05
93,4635.98,0.41424,0.74228,0.36367,0.95306,0,0.88132,0.87258,0.92451,0.74493,0.88445,0.87398,0.91825,0.72705,0.63909,1.09898,0.52032,1.04846,0,8.10828e-05,8.10828e-05,8.10828e-05
94,4677.3,0.40807,0.73965,0.35746,0.94327,0,0.90587,0.8622,0.9275,0.7456,0.9068,0.86439,0.92359,0.72653,0.6362,1.1094,0.5171,1.04614,0,7.20837e-05,7.20837e-05,7.20837e-05
95,4718.13,0.39803,0.72428,0.35202,0.94385,0,0.87536,0.89324,0.93137,0.74873,0.88389,0.88238,0.92522,0.72694,0.6359,1.10729,0.50776,1.04806,0,6.30846e-05,6.30846e-05,6.30846e-05
96,4759.19,0.40633,0.73704,0.35197,0.94485,0,0.9015,0.87798,0.93205,0.74743,0.90137,0.87468,0.92519,0.73025,0.63603,1.11431,0.50771,1.04079,0,5.40855e-05,5.40855e-05,5.40855e-05
97,4800.54,0.39817,0.72082,0.33966,0.94563,0,0.88973,0.88984,0.93031,0.74507,0.92128,0.85888,0.92441,0.72592,0.63907,1.11292,0.50744,1.04889,0,4.50864e-05,4.50864e-05,4.50864e-05
98,4841.16,0.39877,0.72616,0.3343,0.94184,0,0.88956,0.88219,0.93269,0.74496,0.88908,0.87952,0.9257,0.72769,0.63592,1.12397,0.5038,1.04761,0,3.60873e-05,3.60873e-05,3.60873e-05
99,4882.02,0.39133,0.71551,0.32396,0.93571,0,0.90102,0.87995,0.93215,0.74991,0.89708,0.87417,0.92317,0.72999,0.63864,1.10766,0.50235,1.04982,0,2.70882e-05,2.70882e-05,2.70882e-05
100,4922.73,0.38689,0.70185,0.32896,0.92827,0,0.91171,0.86909,0.92995,0.74573,0.90838,0.86547,0.92179,0.72966,0.63687,1.10991,0.50156,1.0507,0,1.80891e-05,1.80891e-05,1.80891e-05
