epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,3955.11,0.73219,1.47501,0.78927,1.04721,0,0.7336,0.68353,0.73895,0.52693,0.7361,0.68206,0.72794,0.48784,0.87572,1.78607,0.93125,1.18896,0,0.000330078,0.000330078,0.000330078
73,4009.01,0.71172,1.43655,0.76303,1.03637,0,0.77269,0.65108,0.74441,0.53277,0.71711,0.68413,0.73415,0.50165,0.87181,1.74238,0.92156,1.19064,0,0.000319079,0.000319079,0.000319079
74,4065.7,0.70587,1.45087,0.76563,1.03262,0,0.73687,0.66688,0.71415,0.51967,0.74254,0.66978,0.7093,0.48894,0.85819,1.72072,0.93604,1.18677,0,0.00030808,0.00030808,0.00030808
75,4120.82,0.72217,1.42092,0.77201,1.04474,0,0.75553,0.64514,0.72152,0.51859,0.75374,0.64841,0.71632,0.4858,0.87016,1.72568,0.93311,1.18185,0,0.000297081,0.000297081,0.000297081
76,4175.54,0.70457,1.42725,0.75789,1.03827,0,0.77774,0.64079,0.72014,0.52254,0.77128,0.63536,0.71263,0.48735,0.87762,1.75585,0.93173,1.19074,0,0.000286083,0.000286083,0.000286083
77,4231.33,0.70795,1.39042,0.73859,1.03022,0,0.74728,0.68677,0.74244,0.52712,0.74453,0.68611,0.72715,0.49852,0.86963,1.69433,0.91547,1.18662,0,0.000275084,0.000275084,0.000275084
78,4287.04,0.71525,1.42783,0.77111,1.04703,0,0.73817,0.68707,0.73271,0.53156,0.75315,0.67406,0.72149,0.50127,0.87157,1.72569,0.91676,1.17663,0,0.000264085,0.000264085,0.000264085
79,4342.02,0.71501,1.37844,0.73897,1.03579,0,0.73251,0.6615,0.72348,0.5212,0.73557,0.66659,0.71627,0.4919,0.8682,1.72707,0.92575,1.1855,0,0.000253086,0.000253086,0.000253086
80,4397.35,0.70069,1.39482,0.72616,1.0296,0,0.71036,0.69194,0.7197,0.51488,0.70942,0.69047,0.7197,0.48556,0.87173,1.74193,0.94704,1.18089,0,0.000242087,0.000242087,0.000242087
81,4450.98,0.68928,1.36252,0.71743,1.02025,0,0.73276,0.68139,0.72189,0.51869,0.73864,0.68605,0.71727,0.48657,0.86117,1.73013,0.88892,1.19157,0,0.000231088,0.000231088,0.000231088
82,4505.5,0.69271,1.38623,0.7122,1.02029,0,0.72846,0.69126,0.71762,0.52406,0.71877,0.68922,0.7104,0.49015,0.86712,1.75522,0.91082,1.19182,0,0.000220089,0.000220089,0.000220089
83,4557.97,0.67726,1.36126,0.72912,1.02361,0,0.72843,0.70505,0.73774,0.53029,0.7362,0.70604,0.7382,0.49735,0.86416,1.72744,0.90117,1.18238,0,0.00020909,0.00020909,0.00020909
84,4612.65,0.67744,1.33013,0.69377,1.01822,0,0.74639,0.70416,0.74738,0.5336,0.75401,0.68731,0.74148,0.50307,0.85958,1.72974,0.91661,1.18622,0,0.000198091,0.000198091,0.000198091
85,4667.84,0.6923,1.38251,0.71854,1.02044,0,0.77453,0.66752,0.73307,0.53054,0.74353,0.68912,0.72314,0.50114,0.85103,1.74227,0.89933,1.18319,0,0.000187092,0.000187092,0.000187092
86,4720.54,0.6874,1.35486,0.70398,1.0207,0,0.75339,0.6875,0.73781,0.53305,0.73944,0.68764,0.71819,0.49708,0.85542,1.73733,0.92023,1.17567,0,0.000176094,0.000176094,0.000176094
87,4775.48,0.67906,1.33358,0.69572,1.01066,0,0.73377,0.68011,0.72508,0.52225,0.73821,0.68437,0.71493,0.49283,0.8727,1.75887,0.90402,1.1968,0,0.000165095,0.000165095,0.000165095
88,4830.44,0.64467,1.30582,0.67319,1.00436,0,0.74814,0.67197,0.71902,0.52041,0.74927,0.67091,0.71097,0.49251,0.86792,1.76767,0.91049,1.19819,0,0.000154096,0.000154096,0.000154096
89,4883.63,0.67352,1.35978,0.68736,1.01274,0,0.74091,0.69889,0.72989,0.53266,0.74109,0.69491,0.7213,0.49984,0.86334,1.76845,0.91032,1.19291,0,0.000143097,0.000143097,0.000143097
90,4939.22,0.67649,1.33985,0.69017,1.00845,0,0.73704,0.67966,0.71623,0.52357,0.74217,0.68731,0.71025,0.49184,0.86265,1.72707,0.90914,1.18486,0,0.000132098,0.000132098,0.000132098
91,4988.05,0.62889,1.19139,0.58584,1.01009,0,0.70378,0.69841,0.7196,0.52142,0.69969,0.69325,0.70504,0.48785,0.87362,1.77744,0.90713,1.20173,0,0.000121099,0.000121099,0.000121099
92,5033.22,0.63242,1.16631,0.56348,0.99765,0,0.75585,0.69615,0.73072,0.52273,0.75373,0.69314,0.72148,0.49215,0.87607,1.78677,0.89283,1.18755,0,0.0001101,0.0001101,0.0001101
93,5078.44,0.61182,1.14819,0.55609,0.99201,0,0.72787,0.6907,0.72321,0.52711,0.72631,0.68854,0.71288,0.49399,0.85904,1.81479,0.90149,1.17895,0,9.91012e-05,9.91012e-05,9.91012e-05
94,5123.71,0.60651,1.1175,0.54475,0.98367,0,0.71694,0.70201,0.72471,0.52611,0.71556,0.71461,0.71982,0.49392,0.86161,1.78994,0.90511,1.18687,0,8.81023e-05,8.81023e-05,8.81023e-05
95,5169.71,0.60627,1.12425,0.54175,0.99697,0,0.71801,0.71765,0.73353,0.52597,0.71782,0.71531,0.72357,0.49415,0.85608,1.79811,0.90426,1.18553,0,7.71034e-05,7.71034e-05,7.71034e-05
96,5214.31,0.59622,1.12794,0.53408,0.98323,0,0.72254,0.69725,0.72722,0.52228,0.72125,0.70131,0.71923,0.48939,0.86018,1.77361,0.89553,1.19156,0,6.61045e-05,6.61045e-05,6.61045e-05
97,5258.55,0.59053,1.08857,0.5159,0.96968,0,0.73563,0.68218,0.72939,0.52646,0.70492,0.70141,0.71248,0.49067,0.86248,1.8091,0.9009,1.19597,0,5.51056e-05,5.51056e-05,5.51056e-05
98,5304.1,0.59013,1.08675,0.50759,0.97899,0,0.7252,0.69695,0.72526,0.52273,0.72242,0.69569,0.71162,0.48947,0.86616,1.82603,0.9007,1.20237,0,4.41067e-05,4.41067e-05,4.41067e-05
99,5348.63,0.60086,1.09846,0.52423,0.98674,0,0.71225,0.69431,0.7202,0.52436,0.71882,0.69168,0.70924,0.49045,0.86181,1.81037,0.89213,1.19707,0,3.31078e-05,3.31078e-05,3.31078e-05
100,5393.57,0.58047,1.07463,0.50737,0.96775,0,0.74294,0.67807,0.72086,0.52317,0.73729,0.6729,0.70459,0.48901,0.86086,1.81537,0.89511,1.1984,0,2.21089e-05,2.21089e-05,2.21089e-05
